rank,score,viscousDampingNsPerM,coulombFrictionN,thermalRelaxationTimeS,thermalVolumeExponent,timingRmseMs,amplitudeRmseKpa,visibleDurationRmseMs,run1ReleaseAmplitudeMm,run1VisibleDurationS,run2ReleaseAmplitudeMm,run2VisibleDurationS,run3ReleaseAmplitudeMm,run3VisibleDurationS,run4ReleaseAmplitudeMm,run4VisibleDurationS
58,2.9407428544086613,0.8,0.01,0.05,1,2.1753138237942196,1.094549572558853,16.62077013859466,5.75,0.263,5.25,0.254,3.75,0.213,3.5,0.216
59,2.943905302533651,1.2,0,0.1,0.5,2.187139120764276,1.023966124406284,21.880356487041055,6.5,0.23299999999999998,5.75,0.24,4.5,0.213,3.25,0.22599999999999998
60,2.9439960451041833,1,0.0025,0.05,0.5,2.262058988380025,0.9979622094190598,21.598611066455167,6.75,0.248,5.75,0.24,4.25,0.213,3.5,0.22599999999999998
61,2.944856203680382,1.4,0.0025,0.5,1,2.1625065725760635,0.917554648158099,21.644860821913355,6.75,0.21700000000000003,6,0.22499999999999998,4.5,0.201,3.5,0.216
62,2.9468363705635263,1.3,0.0025,0.5,1,2.1625065725760635,1.0403496436066018,21.880356487041055,6.5,0.23299999999999998,6,0.24,4.25,0.213,3.25,0.22599999999999998
63,2.948307288313835,1.4,0.005,0.3,1,2.1625065725760635,0.8979543125888683,21.6101827849743,7,0.21800000000000003,6,0.211,4.5,0.188,3.5,0.205
64,2.9489183548867266,1.4,0.0025,0.3,1,2.1625065725760635,1.0294982003707174,17.59261208575917,6.75,0.21700000000000003,6.25,0.22599999999999998,4.5,0.201,3.25,0.205
65,2.9496666492512884,1.4,0.0025,0.5,0.5,2.1625065725760635,0.9299732163617311,21.465087933665675,6.75,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.216
66,2.9502852628996883,1.3,0,0.15,0.5,2.1625065725760635,1.020602197799832,18.337120820892252,7,0.23299999999999998,5.75,0.22499999999999998,4.5,0.213,3.25,0.215
67,2.95076242491118,1.4,0.0025,0.375,0,2.1625065725760635,0.9310879748175356,21.465087933665675,6.75,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.216
68,2.951088089116386,1.3,0.0025,0.1,0,2.1625065725760635,0.9313490320690849,21.465087933665675,6.75,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.216
69,2.951088089116386,1.3,0.0025,0.1,0,2.1625065725760635,0.9313490320690849,21.465087933665675,6.75,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.216
70,2.951947351095776,1.3,0,0.1,0.5,2.2320372380384312,0.897625802774788,21.465087933665675,6.75,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.216
71,2.9523499001676026,1.3,0.0025,0.15,1,2.187139120764276,1.011435258457645,17.59261208575917,6.75,0.21700000000000003,5.75,0.22599999999999998,4.5,0.201,3.25,0.205
72,2.9530952146816514,1.4,0,0.2,0.5,2.1625065725760635,0.9190733807051963,21.465087933665675,7,0.21700000000000003,6.25,0.22599999999999998,4.5,0.201,3.5,0.216
73,2.953279634420487,1.2,0.01,0.05,1,2.1689196513961626,0.8156245125934759,29.068883707497267,7,0.202,6.25,0.19699999999999998,4.75,0.17600000000000002,4,0.173
74,2.956114314397495,1.2,0.0025,0.075,0.5,2.187139120764276,0.9576226382120034,18.768324379123463,7.25,0.23199999999999998,5.75,0.22499999999999998,4.5,0.201,3.5,0.216
75,2.9569438410702102,1.4,0.005,0.5,1,2.1625065725760635,1.0277791769782254,17.59261208575917,6.75,0.21700000000000003,6.25,0.22599999999999998,4.5,0.201,3.25,0.205
76,2.957020614877103,1.2,0.005,0.075,0.5,2.187139120764276,1.0098696557535147,17.59261208575917,6.75,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.25,0.205
77,2.957692346133711,1.2,0.01,0.15,1,2.255910700611415,0.9732474622163796,18.459414941974735,6.75,0.23299999999999998,5.75,0.22599999999999998,4.25,0.201,3.5,0.216
78,2.959532939488395,1.1,0.01,0.075,0.5,2.255910700611415,0.9863359663844965,18.66815470259447,6.5,0.23299999999999998,5.75,0.22499999999999998,4.25,0.201,3.5,0.216
79,2.959953463536179,1.3,0,0.3,0.5,2.1625065725760635,0.996045048532314,27.30384588295209,6.5,0.23299999999999998,5.75,0.24,4.25,0.213,3.5,0.237
80,2.960318275058222,1.2,0.01,0.1,0.5,2.187139120764276,1.0026315496831464,17.811513130556865,6.5,0.21700000000000003,5.75,0.22499999999999998,4.25,0.201,3.25,0.205
81,2.960818456400143,1.3,0.005,0.15,0.5,2.1625065725760635,0.935521114566505,21.465087933665675,6.75,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.216
82,2.9621345929449454,1.3,0.0025,0.1,0,2.1625065725760635,0.935021318307699,21.465087933665675,7,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.216
83,2.96244398566406,1.2,0.005,0.05,0.5,2.187139120764276,0.903013439702463,19.685019685029516,7.5,0.21700000000000003,6.25,0.211,4.75,0.188,3.75,0.19399999999999998
84,2.9627811178701293,1.2,0,0.15,1,2.187139120764276,1.056937731724235,21.598611066455167,6.75,0.248,5.75,0.24,4,0.213,3.25,0.22599999999999998
85,2.962870515612469,1.4,0,0.15,1,2.1625065725760635,0.8855878858368064,21.529050141610973,7.25,0.21700000000000003,6.25,0.212,4.75,0.201,3.75,0.205
86,2.964692361026226,1.2,0.005,0.2,1,2.187139120764276,1.0358530663620087,21.880356487041055,6.25,0.23299999999999998,5.5,0.24,4.25,0.213,3.25,0.22599999999999998
87,2.9682636322659093,1.3,0.01,0.3,1,2.1625065725760635,0.9503494312693859,21.465087933665675,6.5,0.21700000000000003,5.75,0.22599999999999998,4.25,0.201,3.5,0.216
88,2.9690483128959375,1.1,0.005,0.075,0.5,2.255910700611415,1.0002722767300054,21.880356487041055,6.25,0.23299999999999998,5.75,0.24,4.25,0.213,3.5,0.22599999999999998
89,2.969160121107808,1.4,0.005,1,0,2.1625065725760635,0.9474997462958874,21.465087933665675,6.75,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.216
90,2.9701474163013746,1.4,0.0025,0.15,1,2.187139120764276,0.9283394657204692,19.306734576307807,7.5,0.21700000000000003,6,0.212,4.75,0.188,3.5,0.19399999999999998
91,2.9717248446410918,1.3,0.0025,0.3,1,2.1625065725760635,0.9670554826230545,23.12466215969435,6.75,0.23299999999999998,5.75,0.22599999999999998,4.25,0.213,3.5,0.22599999999999998
92,2.972448688495942,1.4,0.0025,0.3,0.5,2.1625065725760635,0.9347511960595709,21.465087933665675,6.75,0.21700000000000003,6.25,0.22599999999999998,4.5,0.201,3.5,0.216
93,2.9737355836377715,1.2,0.005,0.1,0.5,2.255910700611415,1.0108272975126977,18.66815470259447,6.75,0.23299999999999998,5.75,0.22499999999999998,4.25,0.201,3.25,0.216
94,2.9747245164890668,1.3,0.005,0.125,0,2.1625065725760635,0.9517119399301541,21.465087933665675,6.75,0.21700000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.216
95,2.9763852192025997,1,0,0.05,0.5,2.255910700611415,1.0490749602784704,21.598611066455167,6.5,0.248,5.75,0.24,4,0.213,3.25,0.22599999999999998
96,2.979754893354788,1.3,0.005,0.5,0,2.1625065725760635,1.057196817007179,21.880356487041055,6.75,0.23299999999999998,6,0.24,4.25,0.213,3.25,0.22599999999999998
97,2.980863138557249,1.3,0,0.05,1,2.1689196513961626,0.8253512220895052,29.3981291921782,7.25,0.201,6.25,0.19699999999999998,5,0.17600000000000002,4,0.173
98,2.9819900131128962,1.3,0.01,0.15,1,2.187139120764276,1.010273328264287,19.685019685029516,6.75,0.21700000000000003,6,0.211,4.5,0.188,3.25,0.19399999999999998
99,2.982240913978421,1.3,0.0025,0.05,1,2.1689196513961626,0.8307223198214732,29.068883707497267,7.25,0.202,6.25,0.19699999999999998,5,0.17600000000000002,4,0.173
100,2.9829368624793036,1.3,0.01,0.2,1,2.187139120764276,0.965274923353797,17.811513130556865,6.75,0.21700000000000003,6.25,0.22499999999999998,4.5,0.201,3.5,0.205
